"commune","time","nationality","age","value"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2007,"Austria.","Up.to.14.years.old.","7,041"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2008,"Austria.","Up.to.14.years.old.","6,878"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2009,"Austria.","Up.to.14.years.old.","6,764"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2010,"Austria.","Up.to.14.years.old.","6,702"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2011,"Austria.","Up.to.14.years.old.","6,518"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2012,"Austria.","Up.to.14.years.old.","6,457"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2013,"Austria.","Up.to.14.years.old.","6,319"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2014,"Austria.","Up.to.14.years.old.","6,217"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2015,"Austria.","Up.to.14.years.old.","6,104"
"Vienna 16th district, Ottakring <916> ",1971,"Austria.","Up.to.14.years.old.","13,644"
"Vienna 16th district, Ottakring <916> ",1981,"Austria.","Up.to.14.years.old.","9,282"
"Vienna 16th district, Ottakring <916> ",1991,"Austria.","Up.to.14.years.old.","8,546"
"Vienna 16th district, Ottakring <916> ",2001,"Austria.","Up.to.14.years.old.","8,621"
"Vienna 16th district, Ottakring <916> ",2002,"Austria.","Up.to.14.years.old.","8,669"
"Vienna 16th district, Ottakring <916> ",2003,"Austria.","Up.to.14.years.old.","8,991"
"Vienna 16th district, Ottakring <916> ",2004,"Austria.","Up.to.14.years.old.","9,442"
"Vienna 16th district, Ottakring <916> ",2005,"Austria.","Up.to.14.years.old.","9,759"
"Vienna 16th district, Ottakring <916> ",2006,"Austria.","Up.to.14.years.old.","10,028"
"Vienna 16th district, Ottakring <916> ",2007,"Austria.","Up.to.14.years.old.","10,017"
"Vienna 16th district, Ottakring <916> ",2008,"Austria.","Up.to.14.years.old.","9,978"
"Vienna 16th district, Ottakring <916> ",2009,"Austria.","Up.to.14.years.old.","9,865"
